station_name,ridership_2013,ridership_2014,ridership_2015,ridership_2016,average
Bronx Park East,2959,3005,2868,2785,2653.0
Freeman St,4762,4867,4899,5055,4830.0
President St,3969,4092,4120,4114,4082.0
Intervale Av,3420,3571,3472,3423,3310.0
Gun Hill Rd,7339,7752,7790,7714,7427.666666666667
Nereid Av,3878,3850,3817,3753,3607.0
Pelham Pkwy,9614,9688,9774,9441,9028.6666666666661
West Farms Sq - E Tremont Av,7979,8170,8010,7848,7457.0
3 Av - 149 St,24001,25161,24813,24808,23797.666666666668
Allerton Av,5526,5737,5779,5530,5359.0
174 St,7339,7599,7619,7690,7302.333333333333
Beverly Rd,4375,4447,4457,4464,4367.666666666667
Flatbush Av - Brooklyn College,21941,21865,21666,21268,20574.0
Jackson Av,5432,5631,5705,5752,5602.0
233 St,5473,5701,5632,5438,5146.666666666667
Burke Av,3612,3672,3644,3550,3416.6666666666665
Winthrop St,7639,7720,7541,7272,7283.666666666667
Prospect Av,7424,7857,7908,8004,7582.0
Sterling St,5915,5783,5802,5806,5761.666666666667
Simpson St,9672,9948,9981,9680,9201.0
Church Av,9794,9852,9864,9808,9504.3333333333339
E 180 St,7003,7489,7587,7697,7521.0
219 St,3483,3544,3529,3423,3399.0
225 St,4479,4593,4591,4408,4236.333333333333
Newkirk Av,7757,8015,8035,7840,7584.0
Wall St,25078,25619,23595,22211,20792.0
138 St - Grand Concourse,3222,3416,3480,3532,3394.6666666666665
Bowling Green,30640,34830,31556,31522,29854.333333333332
Euclid Av,10418,10652,11014,10870,10604.0
High St,7543,8174,8479,8701,9399.0
Hoyt St,6657,7138,7342,7615,7396.666666666667
Utica Av,14673,15117,15674,16060,16196.333333333334
Nostrand Av,16843,17062,17790,18231,17901.0
Broad Channel,127,251,310,313,300.0
Beach 90 St,463,846,946,939,1048.6666666666667
Rockaway Park - Beach 116 St,379,677,747,727,702.0
Beach 105 St,141,260,305,289,276.0
Beach 98 St,292,563,608,579,530.33333333333337
81 St - Museum of Natural History,13663,13935,14129,14140,14278.666666666666
72 St,9067,9361,9443,9448,7574.333333333333
96 St,9815,10203,10365,10425,10027.333333333334
86 St,11236,11605,11594,11809,9499.0
116 St,6594,7005,7215,7417,7420.666666666667
135 St,5592,5620,5575,5785,5681.666666666667
103 St,4760,4832,4800,4776,4964.666666666667
Cathedral Pkwy (110 St),7117,7253,7490,7553,6287.0
182-183 Sts,4554,4813,5020,5177,4973.0
174-175 Sts,4885,5301,5312,5519,4738.333333333333
Bedford Park Blvd,6303,6645,7046,7236,6907.0
170 St,6563,6988,7101,7225,7409.0
Fordham Rd,11878,12363,12145,12208,11874.333333333334
155 St,3948,4022,4038,4052,3817.0
Kingsbridge Rd,7422,7975,8006,8144,8101.0
Grand St,23770,24153,24281,24649,24177.0
167 St,9374,9906,10166,10439,9001.3333333333339
Tremont Av,9157,9727,9980,10246,10233.0
Church Av,17638,17473,17811,17482,17065.333333333332
7 Av,9389,9495,9641,9731,10070.333333333334
Prospect Park,9761,9715,10033,9995,10096.0
Parkside Av,4240,4969,5266,5524,5824.0
Sheepshead Bay,14010,14118,14304,14477,14244.666666666666
Neck Rd,3941,4033,4207,4354,4400.0
Newkirk Plaza,10788,10707,10864,10842,10701.333333333334
Brighton Beach,12185,12498,12794,13035,12562.333333333334
Kings Hwy,18799,19010,19500,20094,19879.333333333332
Spring St,13136,13319,12914,12775,12729.666666666666
23 St,24782,25620,25731,24569,24375.666666666668
50 St,19406,20993,20828,20921,20393.333333333332
75 Av,3763,3742,3756,3710,3510.0
Kew Gardens - Union Tpke,28289,27693,27558,27085,26371.333333333332
Briarwood - Van Wyck Blvd,4664,4695,4876,5057,5010.333333333333
Fort Hamilton Pkwy,5531,5650,5783,6044,5914.666666666667
Church Av,9984,9954,10490,10151,9780.0
7 Av,12268,12242,12049,11897,11778.0
Smith - 9 Sts,2854,4762,5084,4861,4754.666666666667
Carroll St,12339,11744,11923,11848,11711.0
Bergen St,11562,11570,11548,11529,11336.333333333334
15 St - Prospect Park,6448,6495,6385,6342,6250.0
W 8 St - NY Aquarium,2069,2262,2397,2421,2431.3333333333335
Lexington Av/63 St,15404,15493,16098,16988,19758.333333333332
Lorimer St,4796,4836,5070,5138,5045.333333333333
Hewes St,2859,2859,2992,2866,2836.3333333333335
Flushing Av,9165,9258,9483,9347,8878.3333333333339
Norwood Av,3492,3603,3639,3613,3413.3333333333335
104 St,2575,2659,2710,2758,2024.0
121 St,2222,2397,2462,2500,1663.0
Gates Av,5999,6277,6521,6602,6989.0
Bowery,2743,3015,3325,3504,3652.3333333333335
Chauncey St,2967,3050,3200,3360,3385.0
Woodhaven Blvd,4576,4796,4940,4838,4904.333333333333
Van Siclen Av,2883,2940,3004,3067,2881.6666666666665
75 St,3759,3777,3837,3837,3647.3333333333335
Crescent St,4683,4925,5073,5053,4811.333333333333
Broad St,5635,6525,6865,7279,7153.0
67 Av,9475,9544,9548,9479,9144.6666666666661
63 Dr - Rego Park,16334,16771,16770,16868,16255.0
65 St,3532,3647,3762,3747,3656.3333333333335
Elmhurst Av,13597,13568,13588,13508,12979.333333333334
36 St,4540,4597,4733,4776,4913.0
Grand Av - Newtown,18298,18413,18955,19373,18872.0
Woodhaven Blvd,22276,22156,22220,22483,21688.666666666668
Steinway St,14769,14870,14895,14836,15097.666666666666
Northern Blvd,7235,7431,7428,7413,7141.333333333333
46 St,9529,9608,9439,9362,9054.3333333333339
30 Av,14802,14897,14771,14739,11468.666666666666
36 Av,7688,7577,7447,7347,5981.666666666667
39 Av,3262,3504,3391,3207,2943.3333333333335
Astoria - Ditmars Blvd,17039,17178,17181,17345,16564.666666666668
Broadway,13280,13515,13236,12957,11557.333333333334
Astoria Blvd,12210,12209,12344,12358,13295.333333333334
8 St - NYU,16597,17248,17902,18305,17497.0
City Hall,5666,4344,6310,6766,7051.333333333333
28 St,11607,12407,13271,13680,13746.0
23 St,22760,24060,25973,26693,26027.0
Prince St,15261,15404,15597,15424,14744.0
Rector St,5362,4127,6157,6524,6933.666666666667
34 St - Penn Station,90042,92693,92176,90524,87096.333333333328
72 St,40853,40639,40506,40450,39628.0
96 St,38711,39254,39434,38859,37309.333333333336
Chambers St,23147,23862,23997,23574,22432.0
86 St,64741,65634,65948,64793,51281.333333333336
125 St,29425,30168,30277,30024,28898.0
Canal St,19738,19974,20103,19660,19957.666666666668
34 St - Penn Station,83717,85634,84778,82584,80611.333333333328
Sutphin Blvd - Archer Av - JFK Airport,23012,23747,24349,24796,24009.0
Jamaica Center - Parsons/Archer,41686,42261,42115,41603,39099.0
Marcy Av,11775,12547,13276,13815,13502.333333333334
Myrtle Av,10876,11048,11424,11801,12381.666666666666
145 St,22879,23805,24307,24604,23861.0
125 St,27395,28428,29062,29423,28593.333333333332
